"max_depth","mtries","ntrees","sample_rate","stopping_metric","stopping_rounds","model_ids","rmse"
"25","25","500","0.8","MSE","0","gridSearch_model_44","28462.630897546933"
"15","30","500","0.8","MSE","0","gridSearch_model_47","28536.25792395301"
"20","25","441","0.8","MSE","0","gridSearch_model_43","28614.822532908554"
"15","20","410","0.8","MSE","0","gridSearch_model_37","28627.369061149413"
"20","20","455","0.8","MSE","0","gridSearch_model_38","28699.39609501669"
"25","20","480","0.8","MSE","0","gridSearch_model_39","28726.210397119172"
"15","25","318","0.8","MSE","0","gridSearch_model_42","28762.431573566508"
"25","15","432","0.8","MSE","0","gridSearch_model_34","28809.276262602885"
"10","30","410","0.8","MSE","0","gridSearch_model_46","28816.871623340867"
"10","20","320","0.8","MSE","0","gridSearch_model_36","28898.875698265063"
"10","25","318","0.8","MSE","0","gridSearch_model_41","28899.872000994153"
"15","15","263","0.8","MSE","0","gridSearch_model_32","29004.441528065607"
"20","20","410","0.6","MSE","0","gridSearch_model_13","29038.442506706248"
"15","20","410","0.6","MSE","0","gridSearch_model_12","29049.51758372272"
"20","15","341","0.8","MSE","0","gridSearch_model_33","29119.041461630048"
"25","30","493","0.6","MSE","0","gridSearch_model_24","29230.486076104164"
"20","30","500","0.6","MSE","0","gridSearch_model_23","29234.03604401558"
"15","30","468","0.6","MSE","0","gridSearch_model_22","29253.565136112593"
"10","20","327","0.6","MSE","0","gridSearch_model_11","29279.424805584862"
"20","10","330","0.8","MSE","0","gridSearch_model_28","29313.839262473128"
"15","15","319","0.6","MSE","0","gridSearch_model_7","29378.347219972406"
"25","20","450","0.6","MSE","0","gridSearch_model_14","29384.70405610657"
"25","10","400","0.8","MSE","0","gridSearch_model_29","29450.56311436789"
"15","10","255","0.8","MSE","0","gridSearch_model_27","29470.46055968607"
"10","30","409","0.6","MSE","0","gridSearch_model_21","29559.490754341383"
"10","15","144","0.8","MSE","0","gridSearch_model_31","29560.655775105733"
"10","15","62","0.6","MSE","0","gridSearch_model_6","29619.54843701235"
"20","15","353","0.6","MSE","0","gridSearch_model_8","29647.62191132172"
"25","15","375","0.6","MSE","0","gridSearch_model_9","29746.114716114633"
"10","10","230","0.8","MSE","0","gridSearch_model_26","29987.194692029756"
"15","25","356","0.6","MSE","0","gridSearch_model_17","30043.392718385352"
"10","25","143","0.6","MSE","0","gridSearch_model_16","30044.9760059537"
"25","25","408","0.6","MSE","0","gridSearch_model_19","30055.73440435468"
"20","25","396","0.6","MSE","0","gridSearch_model_18","30082.03211699724"
"25","10","447","0.6","MSE","0","gridSearch_model_4","30141.844365970617"
"20","10","346","0.6","MSE","0","gridSearch_model_3","30249.906107289848"
"15","10","321","0.6","MSE","0","gridSearch_model_2","30317.64083515413"
"10","10","237","0.6","MSE","0","gridSearch_model_1","30619.825524148502"
"5","30","64","0.8","MSE","0","gridSearch_model_45","32111.521124226452"
"5","25","76","0.8","MSE","0","gridSearch_model_40","32665.402903777704"
"5","20","187","0.6","MSE","0","gridSearch_model_10","32793.29989451181"
"5","30","76","0.6","MSE","0","gridSearch_model_20","32832.02878904323"
"5","20","175","0.8","MSE","0","gridSearch_model_35","33293.239010074205"
"5","25","80","0.6","MSE","0","gridSearch_model_15","33311.09944881538"
"5","15","61","0.6","MSE","0","gridSearch_model_5","33966.223743695184"
"5","15","51","0.8","MSE","0","gridSearch_model_30","33992.75036743053"
"5","10","66","0.8","MSE","0","gridSearch_model_25","35238.807214644556"
"5","10","160","0.6","MSE","0","gridSearch_model_0","35286.61329184444"
